"League","First.half.Goals.Percent","lower.confint","upper.conf.int"
"Germany2",0.411916107442863,0.393692615926209,0.430320535364774
"France1",0.424565493305146,0.40932944606414,0.440767760288113
"Spain2",0.425918663948607,0.41090354879681,0.441697528800068
"England Champ",0.428745494925715,0.415288216887825,0.441711832952933
"England League2",0.429285225123523,0.416092455485699,0.442607754129441
"Italy1",0.433067678641779,0.417607877932371,0.449511011096002
"England League1",0.433201001544223,0.41941540303937,0.445969600526152
"Germany1",0.434310711025694,0.418134058126875,0.450449178462479
"Spain1",0.434464890019517,0.419753086419753,0.450333892662658
"Turkey1",0.43801421745856,0.421277799888806,0.454576670312785
"Netherlands1",0.439802604372372,0.423607205736382,0.455866543278331
"England Prem",0.44007371015308,0.424687593118903,0.456074739366984
"Italy2",0.442396161788957,0.42723991288186,0.457995811056886
"Portugal1",0.456784746216934,0.439002166448563,0.474426824717493
"Scotland Prem",0.460538147886965,0.440053564077616,0.481051764262027
